knn: 0.0, perceptron: 1, svm: 0, pa: 0
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 0.0, perceptron: 1, svm: 0, pa: 0
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 2, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 0.0, perceptron: 1, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 2, pa: 0
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 2, pa: 2
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 1, svm: 2, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 0.0, perceptron: 1, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 0, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 2.0, perceptron: 1, svm: 2, pa: 2
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 0.0, perceptron: 1, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 0.0, perceptron: 0, svm: 0, pa: 0
knn: 2.0, perceptron: 2, svm: 2, pa: 2
knn: 1.0, perceptron: 1, svm: 0, pa: 0
knn: 1.0, perceptron: 0, svm: 0, pa: 0
knn: 1.0, perceptron: 1, svm: 0, pa: 0
